date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
1997-07-11,2.4521,6.5711,2.4521,6.1716,5065800.0,1500.0,43.822,36.8422,48.3065,8.673,2.4724,
1997-07-14,6.3507,6.392,5.9029,6.0559,1438000.0,-1.875,43.9934,10.4582,47.4007,8.5104,2.4261,
1997-07-15,6.0462,6.0559,5.8547,5.8644,888200.0,-3.162,42.8596,6.4596,45.9019,8.2413,2.3494,
1997-07-16,5.8396,6.2956,5.6825,6.0104,1268800.0,2.49,43.501,9.2276,47.0449,8.4465,2.4079,
1997-07-17,5.9236,6.1234,5.8961,5.9512,397000.0,-0.9856,43.5163,2.8873,46.5812,8.3633,2.3841,
1997-07-18,5.9443,6.0324,5.8974,6.0035,362100.0,0.8796,43.1547,2.6335,46.991,8.4368,2.4051,
1997-07-21,6.0269,6.0269,5.8547,5.874,285200.0,-2.157,43.0411,2.0742,45.9774,8.2548,2.3532,
1997-07-22,5.8547,5.9388,5.7555,5.9388,270500.0,1.1023,42.4281,1.9673,46.4842,8.3458,2.3792,
1997-07-23,6.009,6.02,5.7859,5.7982,231400.0,-2.366,42.631,1.6829,45.3843,8.1484,2.3229,
1997-07-24,5.7859,5.925,5.7859,5.8079,207300.0,0.1663,42.6108,1.5076,45.4598,8.1619,2.3267,
1997-07-25,5.7859,6.0063,5.7748,5.8919,351700.0,1.4469,42.7038,2.5578,46.1176,8.28,2.3604,
1997-07-28,6.3369,6.3369,5.3312,5.6756,508800.0,-3.6708,42.9289,3.7004,44.4247,7.9761,2.2737,
1997-07-29,5.6467,5.7128,5.4663,5.5241,317700.0,-2.6699,40.4296,2.3105,43.2386,7.7631,2.213,
1997-07-30,5.509,5.553,5.4415,5.4828,354500.0,-0.7481,39.8624,2.5782,42.9151,7.705,2.1965,
1997-07-31,5.469,5.7859,5.4415,5.5668,244100.0,1.5327,40.1345,1.7753,43.5729,7.8231,2.2301,
1997-08-01,5.5654,5.5682,5.4621,5.4966,122500.0,-1.2621,39.9489,0.8909,43.0229,7.7244,2.202,
1997-08-04,5.4415,5.5103,5.4139,5.4346,138300.0,-1.1278,39.6457,1.0058,42.5377,7.6373,2.1772,
1997-08-05,5.4263,5.5007,5.3877,5.4373,96100.0,0.0507,39.4742,0.6989,42.5593,7.6412,2.1783,
1997-08-06,5.48,5.5792,5.3712,5.3726,118300.0,-1.1908,39.455,0.8604,42.0525,7.5502,2.1523,
1997-08-07,5.4001,5.4001,5.0695,5.1246,346400.0,-4.6154,37.4075,2.5193,40.1116,7.2017,2.053,
1997-08-08,5.0971,5.2982,4.9014,5.2197,472800.0,1.8548,36.4132,3.4385,40.8556,7.3353,2.0911,
1997-08-11,5.0971,5.1356,4.918,4.9469,202500.0,-5.2257,36.113,1.4727,38.7206,6.952,1.9818,
1997-08-12,4.5543,4.67,4.4524,4.4524,587600.0,-9.9972,32.4799,4.2735,34.8497,5.9792,1.7837,
1997-08-13,4.3669,4.4634,4.1328,4.1465,491900.0,-6.8688,31.0559,3.5775,32.4559,5.5685,1.6612,
1997-08-14,4.1603,4.4055,4.1603,4.3793,400300.0,5.6146,31.3769,2.9113,34.2782,5.8811,1.7544,
1997-08-15,4.3807,4.4083,4.2319,4.2498,172100.0,-2.9569,31.0598,1.2516,33.2646,5.7072,1.7026,
1997-08-18,4.1603,4.2981,4.1328,4.254,154800.0,0.0972,30.6535,1.1258,33.297,5.7128,1.7042,
1997-08-19,4.2705,4.2981,4.2016,4.2636,105200.0,0.2267,30.942,0.7651,33.3724,5.7257,1.7081,
1997-08-20,4.2843,4.3532,4.2691,4.3187,70600.0,1.2924,31.3405,0.5135,33.8037,5.7997,1.7301,
1997-08-21,4.4083,4.5047,4.3917,4.422,135800.0,2.3923,32.1674,0.9876,34.6124,5.9385,1.7715,
1997-08-22,4.4083,4.6149,4.4083,4.5929,179700.0,3.8629,33.0169,1.3069,35.9495,6.1679,1.84,
1997-08-25,4.5956,4.7499,4.5956,4.681,100300.0,1.9196,34.0063,0.7295,36.6396,6.2863,1.8753,
1997-08-26,4.6838,4.7251,4.5708,4.6425,167800.0,-0.824,33.5546,1.2204,36.3377,6.2345,1.8598,
1997-08-27,4.6149,4.6865,4.546,4.5708,137500.0,-1.543,33.453,1.0,35.777,6.1383,1.8311,
1997-08-28,4.6149,4.6149,4.4358,4.5185,113400.0,-1.1453,32.864,0.8247,35.3672,6.068,1.8102,
1997-08-29,4.5185,4.5185,4.5185,4.5185,,0.0,,,35.3672,6.068,1.8102,
1997-09-01,4.4758,4.4771,4.378,4.4083,152800.0,-2.439,32.0221,1.1113,34.5046,5.92,1.766,
1997-09-02,4.3931,4.546,4.378,4.5102,114200.0,2.3125,32.6867,0.8305,35.3025,6.0569,1.8069,
1997-09-03,4.6562,4.8904,4.6562,4.8725,431000.0,8.033,34.9513,3.1345,38.1384,6.5434,1.952,
1997-09-04,4.9042,4.9455,4.794,4.8202,216700.0,-1.0744,35.3125,1.576,37.7286,6.4731,1.931,
1997-09-05,4.8229,4.9869,4.8229,4.9483,270500.0,2.6579,35.7993,1.9673,38.7314,6.6452,1.9824,
1997-09-08,5.0695,5.0695,4.8766,4.8959,334700.0,-1.0579,35.7877,2.4342,38.3217,6.5749,1.9614,
1997-09-09,4.8959,4.9147,4.7805,4.7805,246700.0,-2.3587,17.8973,0.9201,37.4267,6.4213,1.9156,
1997-09-10,4.7751,4.7751,4.579,4.5951,198800.0,-3.8764,17.2276,0.7414,35.9759,6.1724,1.8413,
1997-09-11,4.4313,4.7536,4.4313,4.6032,369400.0,0.1753,17.1659,1.3777,36.039,6.1832,1.8445,
1997-09-12,4.6139,4.6327,4.4582,4.4689,186900.0,-2.9172,16.8266,0.6971,34.9877,6.0028,1.7907,
1997-09-15,4.4313,4.4313,4.2379,4.2433,269200.0,-5.0481,16.0566,1.004,33.2215,5.6998,1.7003,
1997-09-16,4.2057,4.3346,4.2057,4.2702,110200.0,0.6329,15.8977,0.411,33.4317,5.7359,1.7111,
1997-09-17,4.2648,4.2702,4.2111,4.2111,94800.0,-1.3836,15.8358,0.3536,32.9692,5.6565,1.6874,
1997-09-18,4.2433,4.3239,4.203,4.2406,85500.0,0.7015,15.8164,0.3189,33.2004,5.6962,1.6993,
1997-09-19,4.2567,4.3454,4.2567,4.3078,84400.0,1.5833,16.0414,0.3148,33.7261,5.7864,1.7262,
1997-09-22,4.2648,4.3212,3.9452,3.9479,201700.0,-8.3541,15.1236,0.7523,30.9086,5.303,1.582,
1997-09-23,3.8405,3.8673,3.5531,3.5665,514600.0,-9.6599,13.763,1.9193,27.9229,4.7907,1.4291,
1997-09-24,3.6283,3.8673,3.6283,3.8082,369100.0,6.7771,13.8938,1.3766,29.8152,5.1154,1.526,
1997-09-25,3.8136,3.8942,3.7733,3.827,268400.0,0.4937,14.315,1.001,29.9624,5.1407,1.5335,
1997-09-26,3.8915,3.8915,3.7116,3.8002,174800.0,-0.7018,14.0265,0.6519,29.7521,5.1046,1.5228,
1997-09-29,3.7599,3.7599,3.5451,3.5907,241400.0,-5.5124,13.5471,0.9003,28.1121,4.8232,1.4388,
1997-09-30,3.5719,3.6928,3.5665,3.6793,122900.0,2.4682,13.6069,0.4584,28.806,4.9422,1.4743,
1997-10-06,3.7062,3.733,3.6525,3.7196,126800.0,1.0949,13.7549,0.4729,29.1214,4.9964,1.4905,
1997-10-07,3.7062,3.7196,3.6659,3.7196,111000.0,0.0,13.7781,0.414,29.1214,4.9964,1.4905,
1997-10-08,3.7599,3.8942,3.7545,3.8808,197800.0,4.3321,14.3249,0.7377,30.3829,5.2128,1.5551,
1997-10-09,3.8942,3.9076,3.8136,3.8297,172500.0,-1.3149,14.4272,0.6434,29.9834,5.1443,1.5346,
1997-10-10,3.8673,3.8673,3.8082,3.8217,89700.0,-0.2104,14.2718,0.3345,29.9204,5.1334,1.5314,
1997-10-13,3.8942,3.8942,3.7868,3.8002,87400.0,-0.5622,14.2787,0.326,29.7521,5.1046,1.5228,
1997-10-14,3.7814,3.7814,3.7089,3.7518,72000.0,-1.2721,13.9232,0.2685,29.3737,5.0396,1.5034,
1997-10-15,3.7089,3.8539,3.6874,3.8136,99400.0,1.6464,14.0594,0.3707,29.8573,5.1226,1.5282,
1997-10-16,3.827,4.195,3.827,4.195,518600.0,10.0,15.1541,1.9342,32.843,5.6349,1.681,
1997-10-17,4.2702,4.485,4.2406,4.3722,892900.0,4.2254,16.286,3.3302,34.2307,5.873,1.752,
