date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
2003-04-22,1.0087,1.0528,1.0087,1.0173,32208109.0,46.4088,10.647,40.2601,39.6192,12.4006,6.9262,57.3481
2003-04-23,1.0221,1.0787,1.0221,1.049,17874119.0,3.1132,10.9499,22.3426,40.8526,12.7867,7.1419,59.1334
2003-04-24,1.0423,1.0624,1.0183,1.0403,8785623.0,-0.8234,10.7813,10.982,40.5162,12.6814,7.0831,58.6465
2003-04-25,1.0375,1.0384,0.9693,0.9732,8071129.0,-6.4576,10.3364,10.0889,37.8998,11.1308,6.6257,54.8594
2003-04-28,0.9597,0.9904,0.9261,0.9847,7544395.0,1.1834,9.9633,9.4305,38.3484,11.2625,6.7041,55.5086
2003-04-29,0.9789,0.9789,0.9357,0.9367,4133684.0,-4.8733,9.8746,5.1671,36.4795,10.7137,6.3774,52.8035
2003-04-30,0.9328,0.9712,0.9309,0.9463,2985968.0,1.0246,9.9002,3.7325,36.8533,10.8234,6.4427,53.3445
2003-05-12,0.9328,0.9405,0.8829,0.8858,3783819.0,-6.3895,9.3335,4.7298,34.4986,10.1319,6.0311,49.9361
2003-05-13,0.8743,0.881,0.833,0.8359,3857559.0,-5.6338,8.8674,4.8219,32.555,9.5611,5.6913,47.1228
2003-05-14,0.8254,0.8733,0.8254,0.8599,2401547.0,2.8703,8.9304,3.0019,33.4894,9.8355,5.8546,48.4753
2003-05-15,0.8551,0.8925,0.8503,0.8829,2545456.0,2.6786,9.1139,3.1818,34.3864,10.0989,6.0114,49.7738
2003-05-16,0.8877,0.8925,0.8714,0.8753,1960700.0,-0.8696,9.1626,2.4509,34.0874,10.0111,5.9592,49.341
2003-05-19,0.8753,0.8925,0.8695,0.8849,1809352.0,1.0965,9.1705,2.2617,34.4612,10.1209,6.0245,49.882
2003-05-20,0.8829,0.8829,0.8637,0.8657,1196037.0,-2.1692,9.0838,1.495,33.7137,9.9014,5.8938,48.7999
2003-05-21,0.8685,0.9213,0.8637,0.9031,3633212.0,4.3237,9.3538,4.5415,35.1713,10.3295,6.1487,50.9099
2003-05-22,0.8954,0.9069,0.8925,0.8964,1456231.0,-0.7439,9.3616,1.8203,34.9097,10.2526,6.1029,50.5312
2003-05-23,0.8964,0.929,0.8906,0.9089,2711593.0,1.3919,9.4506,3.3895,35.3956,10.3953,6.1879,51.2345
2003-05-26,0.9108,0.9175,0.9002,0.9031,1338486.0,-0.6336,9.4377,1.6731,35.1713,10.3295,6.1487,50.9099
2003-05-27,0.9012,0.9069,0.8887,0.8935,1597083.0,-1.0627,9.2928,1.9964,34.7976,10.2197,6.0833,50.3689
2003-05-28,0.8925,0.9031,0.8762,0.8772,1364652.0,-1.826,9.2317,1.7058,34.1622,10.0331,5.9722,49.4492
2003-05-29,0.8733,0.8849,0.8685,0.881,1297442.0,0.4376,9.1201,1.6218,34.3117,10.077,5.9984,49.6656
2003-05-30,0.8829,0.9069,0.8743,0.9012,2024073.0,2.2876,9.301,2.5301,35.0966,10.3075,6.1356,50.8017
2003-06-02,0.9069,0.9357,0.9069,0.9271,4628085.0,2.8754,9.6231,5.7851,36.1058,10.6039,6.312,52.2625
2003-06-03,0.929,0.93,0.9108,0.9117,2082879.0,-1.6563,9.5942,2.6036,35.5077,10.4283,6.2075,51.3968
2003-06-04,0.9098,0.9559,0.9069,0.9376,4690465.0,2.8421,9.7901,5.8631,36.5169,10.7246,6.3839,52.8576
2003-06-05,0.9386,0.9396,0.9213,0.9252,1748400.0,-1.3306,9.6746,2.1855,36.031,10.5819,6.299,52.1543
2003-06-06,0.9223,0.9338,0.9117,0.9146,1499997.0,-1.1411,9.5871,1.875,35.6199,10.4612,6.2271,51.5591
2003-06-09,0.8877,0.9117,0.8877,0.8887,1182210.0,-2.8332,9.3382,1.4778,34.6107,10.1648,6.0507,50.0984
2003-06-10,0.8877,0.9002,0.8877,0.8925,593737.0,0.432,9.3014,0.7422,34.7602,10.2087,6.0768,50.3148
2003-06-11,0.8945,0.9117,0.8906,0.9108,724044.0,2.043,9.4266,0.9051,35.4704,10.4173,6.2009,51.3427
2003-06-12,0.9117,0.9146,0.8983,0.9069,517716.0,-0.4215,9.4273,0.6471,35.3209,10.3734,6.1748,51.1263
2003-06-13,0.906,0.9194,0.9031,0.9079,587753.0,0.1058,9.4815,0.7347,35.3582,10.3843,6.1813,51.1804
2003-06-16,0.9079,0.9089,0.8925,0.8964,584251.0,-1.2685,9.356,0.7303,34.9097,10.2526,6.1029,50.5312
2003-06-17,0.8973,0.9021,0.8839,0.8897,611020.0,-0.7495,9.2694,0.7638,34.6481,10.1758,6.0572,50.1525
2003-06-18,0.8887,0.8973,0.882,0.8849,642500.0,-0.5394,9.257,0.8031,34.4612,10.1209,6.0245,49.882
2003-06-19,0.8858,0.8925,0.8733,0.881,821685.0,-0.4338,9.158,1.0271,34.3117,10.077,5.9984,49.6656
2003-06-20,0.8781,0.8849,0.8733,0.8743,465313.0,-0.7625,9.1422,0.5816,34.0501,10.0001,5.9526,49.2869
2003-06-23,0.8695,0.8743,0.8618,0.8685,659400.0,-0.6586,9.0368,0.8242,33.8258,9.9343,5.9134,48.9623
2003-06-24,0.8685,0.8801,0.8666,0.8781,356335.0,1.105,9.103,0.4454,34.1996,10.0441,5.9788,49.5033
2003-06-25,0.8781,0.8781,0.8628,0.8647,525851.0,-1.5301,9.0518,0.6573,33.6763,9.8904,5.8873,48.7458
2003-06-26,0.8637,0.8753,0.8589,0.8714,655185.0,0.7769,9.0385,0.819,33.9379,9.9672,5.933,49.1246
2003-06-27,0.8724,0.8743,0.8541,0.8551,505700.0,-1.8722,9.002,0.6321,33.3025,9.7806,5.822,48.2048
2003-06-30,0.8503,0.857,0.8446,0.8465,515307.0,-1.0101,8.8309,0.6441,32.9661,9.6818,5.7631,47.7179
2003-07-01,0.8541,0.8589,0.8426,0.8436,415200.0,-0.3401,8.86,0.519,32.854,9.6489,5.7435,47.5556
2003-07-02,0.8446,0.8733,0.8446,0.8618,649746.0,2.1615,8.9343,0.8122,33.5642,9.8574,5.8677,48.5835
2003-07-03,0.8637,0.8801,0.8589,0.8637,521861.0,0.2227,9.0567,0.6523,33.6389,9.8794,5.8808,48.6917
2003-07-04,0.8637,0.8685,0.8541,0.858,303131.0,-0.6667,8.9696,0.3789,33.4146,9.8135,5.8416,48.3671
2003-07-07,0.8561,0.8561,0.8436,0.8494,468351.0,-1.0067,8.8361,0.5854,33.0783,9.7147,5.7828,47.8802
2003-07-08,0.8494,0.8609,0.8494,0.8589,275701.0,1.1299,8.9219,0.3446,33.452,9.8245,5.8481,48.4212
2003-07-09,0.8599,0.8781,0.8561,0.8753,617760.0,1.8994,9.0611,0.7722,34.0874,10.0111,5.9592,49.341
2003-07-10,0.8733,0.8839,0.8685,0.881,953868.0,0.6579,9.1476,1.1923,34.3117,10.077,5.9984,49.6656
2003-07-11,0.881,0.8829,0.8724,0.8743,433257.0,-0.7625,9.1146,0.5416,34.0501,10.0001,5.9526,49.2869
2003-07-14,0.8733,0.8781,0.8618,0.8705,540918.0,-0.4391,9.0578,0.6761,33.9005,9.9562,5.9265,49.0705
2003-07-15,0.8724,0.8762,0.8637,0.8685,455132.0,-0.2205,9.0457,0.5689,33.8258,9.9343,5.9134,48.9623
2003-07-16,0.8685,0.8762,0.8657,0.8676,337545.0,-0.1105,9.0788,0.4219,33.7884,9.9233,5.9069,48.9082
2003-07-17,0.8657,0.8733,0.8541,0.8589,901818.0,-0.9956,8.9605,1.1273,33.452,9.8245,5.8481,48.4212
2003-07-18,0.8561,0.8628,0.8436,0.8446,668995.0,-1.676,8.862,0.8362,32.8914,9.6599,5.7501,47.6097
