代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002074.SZ,国轩高科,2006-10-18,N/A,3.259,3.4088,3.1379,3.2502,14798955,219970837.8,1.515,87.3096,14.8639,77.0779,283392000,N/A,1018440000,19200000,0,69000000,76.4376,3.4646,4.9133,-80.5768,
002074.SZ,国轩高科,2006-10-19,3.2502,3.3361,3.5321,3.3361,3.4088,8251707,128270388,0.1585,4.878,15.5447,42.9776,297216000,N/A,1068120000,19200000,0,69000000,80.1662,3.6336,5.1529,-84.5073,
002074.SZ,国轩高科,2006-10-20,3.4088,3.3449,3.3449,3.2172,3.248,4159888,61787559.2,-0.1608,-4.7158,14.8532,21.6661,283200000,N/A,1017750000,19200000,0,69000000,76.3858,3.4622,4.9099,-80.5222,
002074.SZ,国轩高科,2006-10-23,3.248,3.259,3.5189,3.248,3.4682,4102448,63740023.6,0.2202,6.7797,15.5371,21.3669,302400000,N/A,1086750000,19200000,0,69000000,81.5645,3.697,5.2428,-85.9813,
002074.SZ,国轩高科,2006-10-24,3.4682,3.4132,3.6334,3.3912,3.4903,4429847,70693120,0.022,0.6349,15.9584,23.0721,304320000,N/A,1093650000,19200000,0,69000000,82.0823,3.7204,5.2761,-86.5272,
002074.SZ,国轩高科,2006-10-25,3.4903,3.4771,3.4837,3.378,3.4176,2474183,38555188.4,-0.0727,-2.082,15.583,12.8864,297984000,N/A,1070880000,19200000,0,69000000,80.3734,3.643,5.1662,-84.7257,
002074.SZ,国轩高科,2006-10-26,3.4176,3.3934,3.411,3.2767,3.3229,2050862,30892861.9,-0.0947,-2.7706,15.0634,10.6816,289728000,N/A,1041210000,19200000,0,69000000,78.1465,3.542,5.0231,-82.3783,
002074.SZ,国轩高科,2006-10-27,3.3229,3.3361,3.4022,3.248,3.2965,1466396,22120798.8,-0.0264,-0.7952,15.0851,7.6375,287424000,N/A,1032930000,19200000,0,69000000,77.5251,3.5139,4.9832,-81.7232,
002074.SZ,国轩高科,2006-10-30,3.2965,3.2921,3.2943,3.1401,3.2128,1608029,23304801,-0.0837,-2.5384,14.4928,8.3752,280128000,N/A,1006710000,19200000,0,69000000,75.5572,3.4247,4.8567,-79.6487,
002074.SZ,国轩高科,2006-10-31,3.2128,3.2194,3.248,3.1445,3.1489,1579096,22838014.3,-0.0639,-1.9877,14.4627,8.2245,274560000,N/A,986700000,19200000,0,69000000,74.0554,3.3566,4.7601,-78.0656,
002074.SZ,国轩高科,2006-11-01,3.1489,3.1622,3.2106,3.1071,3.1842,1764599,25314381.5,0.0352,1.1189,14.3457,9.1906,277632000,N/A,997740000,19200000,0,69000000,74.884,3.3942,4.8134,-78.939,
002074.SZ,国轩高科,2006-11-02,3.1842,3.171,3.1776,3.041,3.0719,1886049,26425713.1,-0.1123,-3.527,14.0111,9.8232,267840000,N/A,962550000,19200000,0,69000000,72.2428,3.2744,4.6436,-76.1549,
002074.SZ,国轩高科,2006-11-03,3.0719,3.0432,3.1225,3.0432,3.1049,1000480,14032742.9,0.033,1.0753,14.026,5.2108,270720000,N/A,972900000,19200000,0,69000000,73.0196,3.3097,4.6936,-76.9737,
002074.SZ,国轩高科,2006-11-06,3.1049,3.0763,3.1049,2.9948,3.0168,1161436,16106953.2,-0.0881,-2.8369,13.8681,6.0491,263040000,N/A,945300000,19200000,0,69000000,70.9482,3.2158,4.5604,-74.7901,
002074.SZ,国轩高科,2006-11-07,3.0168,3.0829,3.2084,3.0719,3.1115,2491754,35420922.7,0.0947,3.1387,14.2153,12.9779,271296000,N/A,974970000,19200000,0,69000000,73.175,3.3167,4.7035,-77.1375,
002074.SZ,国轩高科,2006-11-08,3.1115,3.0851,3.1225,3.0631,3.1225,820762,11508971.1,0.011,0.3539,14.0223,4.2748,272256000,N/A,978420000,19200000,0,69000000,73.4339,3.3284,4.7202,-77.4105,
002074.SZ,国轩高科,2006-11-09,3.1225,3.1181,3.204,3.1049,3.1688,1407035,20246015.3,0.0462,1.481,14.3891,7.3283,276288000,N/A,992910000,19200000,0,69000000,74.5214,3.3777,4.7901,-78.5569,
002074.SZ,国轩高科,2006-11-10,3.1688,3.1489,3.1688,3.0388,3.0587,924081,13028596.3,-0.1101,-3.4746,14.099,4.8129,266688000,N/A,958410000,19200000,0,69000000,71.9321,3.2604,4.6236,-75.8273,
002074.SZ,国轩高科,2006-11-13,3.0587,3.0212,3.1974,3.0212,3.1688,1238144,17531680.5,0.1101,3.5997,14.1596,6.4487,276288000,N/A,992910000,19200000,0,69000000,74.5214,3.3777,4.7901,-78.5569,
002074.SZ,国轩高科,2006-11-14,3.1688,3.16,3.2062,3.1159,3.1798,854572,12293971.2,0.011,0.3475,14.3861,4.4509,277248000,N/A,996360000,19200000,0,69000000,74.7804,3.3895,4.8067,-78.8298,
002074.SZ,国轩高科,2006-11-15,3.1798,3.1908,3.1996,3.1291,3.182,931939,13410871.2,0.0022,0.0693,14.3903,4.8538,277440000,N/A,997050000,19200000,0,69000000,74.8322,3.3918,4.8101,-78.8844,
002074.SZ,国轩高科,2006-11-16,3.182,3.1776,3.1776,3.0851,3.0939,993349,14052741.4,-0.0881,-2.7682,14.1468,5.1737,269760000,N/A,969450000,19200000,0,69000000,72.7607,3.2979,4.6769,-76.7008,
002074.SZ,国轩高科,2006-11-17,3.0939,3.0829,3.1247,3.0631,3.0873,427524,6007963.3,-0.0066,-0.2135,14.0529,2.2267,269184000,N/A,967380000,19200000,0,69000000,72.6053,3.2909,4.6669,-76.537,
002074.SZ,国轩高科,2006-11-20,3.0873,3.0895,3.1049,2.9992,3.0168,904505,12441729.3,-0.0705,-2.2825,13.7553,4.711,263040000,N/A,945300000,19200000,0,69000000,70.9482,3.2158,4.5604,-74.7901,
