´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
300015.SZ,°®¶ûÑÛ¿Æ,2009-10-30,N/A,0.7566,1.1149,0.6604,0.8037,23975079,1261342432.6,0.3701,85.3571,52.6106,89.4592,1390920000,N/A,6928650000,26800000,0,133500000,81.9826,22.4322,15.7785,-610.6596,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-02,0.8037,0.7233,0.8335,0.7233,0.7508,10095677,490859751.7,-0.0528,-6.5703,48.6208,37.6704,1299532000,N/A,6473415000,26800000,0,133500000,76.596,20.9583,14.7418,-570.5372,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-03,0.7508,0.7635,0.8207,0.7372,0.7851,7044934,357168668,0.0342,4.5576,50.6987,26.2871,1358760000,N/A,6768450000,26800000,0,133500000,80.087,21.9135,15.4136,-596.5403,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-04,0.7851,0.7786,0.8184,0.7744,0.8006,4652062,239265826.2,0.0155,1.9724,51.4322,17.3584,1385560000,N/A,6901950000,26800000,0,133500000,81.6666,22.3458,15.7177,-608.3064,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-05,0.8006,0.7965,0.8438,0.782,0.8129,5298379,279305952.3,0.0124,1.5474,52.7154,19.7701,1407000000,N/A,7008750000,26800000,0,133500000,82.9303,22.6915,15.9609,-617.7192,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-06,0.8129,0.8052,0.8201,0.7643,0.775,4175109,212060316,-0.0379,-4.6667,50.7916,15.5788,1341340000,N/A,6681675000,26800000,0,133500000,79.0602,21.6326,15.216,-588.8923,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-09,0.775,0.7713,0.7807,0.743,0.7484,3145749,153864964.5,-0.0266,-3.4366,48.912,11.7379,1295244000,N/A,6452055000,26800000,0,133500000,76.3433,20.8892,14.6931,-568.6547,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-10,0.7484,0.7518,0.7555,0.721,0.7225,3149786,149501574.6,-0.0259,-3.4554,47.464,11.7529,1250488000,N/A,6229110000,26800000,0,133500000,73.7053,20.1674,14.1854,-549.0053,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-11,0.7225,0.7143,0.7298,0.6985,0.7247,2602840,120013615.6,0.0022,0.3,46.1087,9.7121,1254240000,N/A,6247800000,26800000,0,133500000,73.9265,20.2279,14.228,-550.6526,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-12,0.7247,0.7231,0.7507,0.7189,0.7479,2673148,127729701,0.0232,3.2051,47.7825,9.9744,1294440000,N/A,6448050000,26800000,0,133500000,76.2959,20.8762,14.684,-568.3017,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-13,0.7479,0.7485,0.8021,0.7434,0.7786,4210148,211479410.4,0.0307,4.0994,50.2309,15.7095,1347504000,N/A,6712380000,26800000,0,133500000,79.4236,21.732,15.286,-591.5985,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-16,0.7786,0.7773,0.7786,0.7569,0.7696,2996244,147875205.3,-0.009,-1.1535,49.3535,11.18,1331960000,N/A,6634950000,26800000,0,133500000,78.5074,21.4813,15.1096,-584.7742,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-17,0.7696,0.7665,0.7851,0.7589,0.7634,1929430,95957208.7,-0.0062,-0.8048,49.7334,7.1994,1321240000,N/A,6581550000,26800000,0,133500000,77.8755,21.3084,14.988,-580.0677,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-18,0.7634,0.7652,0.7888,0.7595,0.7826,3066157,154107303.3,0.0192,2.5152,50.2607,11.4409,1354472000,N/A,6747090000,26800000,0,133500000,79.8343,21.8444,15.365,-594.6577,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-19,0.7826,0.7837,0.8594,0.7773,0.8215,5842210,310059576.1,0.0389,4.9664,53.0723,21.7993,1421740000,N/A,7082175000,26800000,0,133500000,83.7991,22.9293,16.1281,-624.1906,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-20,0.8215,0.8159,0.8388,0.8038,0.8145,2845770,150254995.8,-0.007,-0.8483,52.7994,10.6185,1409680000,N/A,7022100000,26800000,0,133500000,83.0883,22.7348,15.9913,-618.8958,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-23,0.8145,0.8129,0.8374,0.8098,0.8338,2511877,133892197,0.0194,2.3764,53.3036,9.3727,1443180000,N/A,7188975000,26800000,0,133500000,85.0628,23.275,16.3713,-633.6035,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-24,0.8338,0.8439,0.851,0.76,0.7928,4057508,210363719.7,-0.041,-4.9211,51.8455,15.14,1372160000,N/A,6835200000,26800000,0,133500000,80.8768,22.1296,15.5657,-602.4233,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-25,0.7928,0.7858,0.8359,0.7792,0.8297,3564195,186618204.4,0.0369,4.6484,52.3591,13.2992,1435944000,N/A,7152930000,26800000,0,133500000,84.6363,23.1583,16.2892,-630.4266,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-26,0.8297,0.8292,0.847,0.8071,0.847,4178462,223277460.7,0.0173,2.0903,53.4353,15.5913,1465960000,N/A,7302450000,26800000,0,133500000,86.4055,23.6424,16.6297,-643.6046,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-27,0.847,0.864,0.9266,0.864,0.8811,5992965,345975389.7,0.0341,4.0219,57.7303,22.3618,1524920000,N/A,7596150000,26800000,0,133500000,89.8807,24.5933,17.2985,-669.49,
300015.SZ,°®¶ûÑÛ¿Æ,2009-11-30,0.8811,0.8795,0.8795,0.8362,0.8718,3168133,175732491.2,-0.0093,-1.0545,55.4688,11.8214,1508840000,N/A,7516050000,26800000,0,133500000,88.9329,24.334,17.1161,-662.4304,
300015.SZ,°®¶ûÑÛ¿Æ,2009-12-01,0.8718,0.8665,0.8716,0.8439,0.8605,2543968,140858281.1,-0.0113,-1.2966,55.3695,9.4924,1489276000,N/A,7418595000,26800000,0,133500000,87.7798,24.0184,16.8942,-653.8411,
300015.SZ,°®¶ûÑÛ¿Æ,2009-12-02,0.8605,0.8656,0.9071,0.8648,0.8848,3949069,226765442.3,0.0243,2.8253,57.4225,14.7353,1531352000,N/A,7628190000,26800000,0,133500000,90.2598,24.697,17.3715,-672.3138,
300015.SZ,°®¶ûÑÛ¿Æ,2009-12-03,0.8848,0.8848,0.9232,0.878,0.9229,3906645,229191922.9,0.0381,4.3052,58.6672,14.577,1597280000,N/A,7956600000,26800000,0,133500000,94.1457,25.7603,18.1194,-701.2584,
300015.SZ,°®¶ûÑÛ¿Æ,2009-12-04,0.9229,0.8904,0.901,0.8306,0.8397,4202754,233772593.3,-0.0832,-9.0101,55.6237,15.6819,1453364000,N/A,7239705000,26800000,0,133500000,85.6631,23.4393,16.4868,-638.0745,
300015.SZ,°®¶ûÑÛ¿Æ,2009-12-07,0.8397,0.8352,0.8665,0.8317,0.8558,1544855,84959698.5,0.0161,1.9178,54.9953,5.7644,1481236000,N/A,7378545000,26800000,0,133500000,87.3059,23.8888,16.803,-650.3113,
