代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600808.SH,马钢股份,1994-01-06,N/A,1.6279,1.6279,1.5088,1.5604,12040500,47180000,0.1906,13.913,3.9184,2.9367,1611300000,N/A,25369329000,410000000,0,6455300000,62.0664,N/A,6.6202,N/A,
600808.SH,马钢股份,1994-01-07,1.5604,1.5406,1.5485,1.5207,1.5406,3828500,14828000,-0.0199,-1.2723,3.8731,0.9338,1590800000,N/A,25046564000,410000000,0,6455300000,61.2767,N/A,6.536,N/A,
600808.SH,马钢股份,1994-01-10,1.5406,1.5207,1.5882,1.5167,1.5723,7324000,28835000,0.0318,2.0619,3.9371,1.7863,1623600000,N/A,25562988000,410000000,0,6455300000,62.5402,N/A,6.6708,N/A,
600808.SH,马钢股份,1994-01-11,1.5723,1.5803,1.5803,1.5406,1.5564,1577200,6173000,-0.0159,-1.0101,3.9139,0.3847,1607200000,N/A,25304776000,410000000,0,6455300000,61.9085,N/A,6.6034,N/A,
600808.SH,马钢股份,1994-01-12,1.5564,1.5406,1.5684,1.5406,1.5406,1443000,5629000,-0.0159,-1.0204,3.9009,0.352,1590800000,N/A,25046564000,410000000,0,6455300000,61.2767,N/A,6.536,N/A,
600808.SH,马钢股份,1994-01-13,1.5406,1.5445,1.6478,1.5406,1.616,14164800,57291000,0.0754,4.8969,4.0446,3.4548,1668700000,N/A,26273071000,410000000,0,6455300000,64.2774,N/A,6.8561,N/A,
600808.SH,马钢股份,1994-01-14,1.616,1.6081,1.62,1.5286,1.5406,4881100,19264000,-0.0754,-4.6683,3.9467,1.1905,1590800000,N/A,25046564000,410000000,0,6455300000,61.2767,N/A,6.536,N/A,
600808.SH,马钢股份,1994-01-17,1.5406,1.5485,1.5644,1.5326,1.5366,744100,2894000,-0.004,-0.2577,3.8893,0.1815,1586700000,N/A,24982011000,410000000,0,6455300000,61.1188,N/A,6.5192,N/A,
600808.SH,马钢股份,1994-01-18,1.5366,1.5326,1.5445,1.5048,1.5167,1018900,3907000,-0.0199,-1.292,3.8345,0.2485,1566200000,N/A,24659246000,410000000,0,6455300000,60.3292,N/A,6.4349,N/A,
600808.SH,马钢股份,1994-01-19,1.5167,1.5167,1.5167,1.4214,1.477,693400,2589000,-0.0397,-2.6178,3.7338,0.1691,1525200000,N/A,24013716000,410000000,0,6455300000,58.7499,N/A,6.2665,N/A,
600808.SH,马钢股份,1994-01-20,1.477,1.4611,1.5088,1.4294,1.5088,803500,2947000,0.0318,2.1505,3.6677,0.196,1558000000,N/A,24530140000,410000000,0,6455300000,60.0133,N/A,6.4012,N/A,
600808.SH,马钢股份,1994-01-21,1.5088,1.4889,1.5009,1.4611,1.4929,524600,1967000,-0.0159,-1.0526,3.7495,0.128,1541600000,N/A,24271928000,410000000,0,6455300000,59.3816,N/A,6.3339,N/A,
600808.SH,马钢股份,1994-01-24,1.4929,1.4929,1.5922,1.4929,1.5803,4518400,17743000,0.0874,5.8511,3.9268,1.102,1631800000,N/A,25692094000,410000000,0,6455300000,62.856,N/A,6.7044,N/A,
600808.SH,马钢股份,1994-01-25,1.5803,1.5803,1.6835,1.5445,1.5604,27396800,112603000,-0.0199,-1.2563,4.1101,6.6821,1611300000,N/A,25369329000,410000000,0,6455300000,62.0664,N/A,6.6202,N/A,
600808.SH,马钢股份,1994-01-26,1.5604,1.5644,1.612,1.5525,1.5644,3618300,14374000,0.004,0.2545,3.9726,0.8825,1615400000,N/A,25433882000,410000000,0,6455300000,62.2243,N/A,6.6371,N/A,
600808.SH,马钢股份,1994-01-27,1.5644,1.5882,1.5882,1.5525,1.5684,1495800,5904000,0.004,0.2538,3.9471,0.3648,1619500000,N/A,25498435000,410000000,0,6455300000,62.3823,N/A,6.6539,N/A,
600808.SH,马钢股份,1994-01-28,1.5684,1.5723,1.5723,1.5088,1.5247,2831200,10933000,-0.0437,-2.7848,3.8616,0.6905,1574400000,N/A,24788352000,410000000,0,6455300000,60.645,N/A,6.4686,N/A,
600808.SH,马钢股份,1994-01-31,1.5247,1.4889,1.5247,1.4492,1.4889,2214500,8302000,-0.0357,-2.3438,3.7489,0.5401,1537500000,N/A,24207375000,410000000,0,6455300000,59.2237,N/A,6.317,N/A,
